Sample,Family ID,Population,Population Description
HG02727,PK24,PJL,"Punjabi in Lahore,Pakistan"
HG02728,PK24,PJL,"Punjabi in Lahore,Pakistan"
HG02729,PK24,PJL,"Punjabi in Lahore,Pakistan"
HG02731,PK25,PJL,"Punjabi in Lahore,Pakistan"
HG02733,PK26,PJL,"Punjabi in Lahore,Pakistan"
HG02734,PK26,PJL,"Punjabi in Lahore,Pakistan"
HG02735,PK26,PJL,"Punjabi in Lahore,Pakistan"
HG02736,PK27,PJL,"Punjabi in Lahore,Pakistan"
HG02737,PK27,PJL,"Punjabi in Lahore,Pakistan"
HG02738,PK27,PJL,"Punjabi in Lahore,Pakistan"
HG02756,GB53,GWD,"Gambian in Western Division, The Gambia"
HG02757,GB53,GWD,"Gambian in Western Division, The Gambia"
HG02758,GB53,GWD,"Gambian in Western Division, The Gambia"
HG02759,GB54,GWD,"Gambian in Western Division, The Gambia"
HG02760,GB54,GWD,"Gambian in Western Division, The Gambia"
HG02761,GB54,GWD,"Gambian in Western Division, The Gambia"
HG02762,GB55,GWD,"Gambian in Western Division, The Gambia"
HG02763,GB55,GWD,"Gambian in Western Division, The Gambia"
HG02764,GB55,GWD,"Gambian in Western Division, The Gambia"
HG02768,GB57,GWD,"Gambian in Western Division, The Gambia"
HG02769,GB57,GWD,"Gambian in Western Division, The Gambia"
HG02770,GB57,GWD,"Gambian in Western Division, The Gambia"
HG02771,GB58,GWD,"Gambian in Western Division, The Gambia"
HG02772,GB58,GWD,"Gambian in Western Division, The Gambia"
HG02773,GB58,GWD,"Gambian in Western Division, The Gambia"
HG02774,PK28,PJL,"Punjabi in Lahore,Pakistan"
HG02775,PK28,PJL,"Punjabi in Lahore,Pakistan"
HG02776,PK28,PJL,"Punjabi in Lahore,Pakistan"
HG02778,PK29,PJL,"Punjabi in Lahore,Pakistan"
HG02779,PK29,PJL,"Punjabi in Lahore,Pakistan"
HG02780,PK30,PJL,"Punjabi in Lahore,Pakistan"
HG02781,PK30,PJL,"Punjabi in Lahore,Pakistan"
HG02783,PK31,PJL,"Punjabi in Lahore,Pakistan"
HG02784,PK31,PJL,"Punjabi in Lahore,Pakistan"
HG02785,PK31,PJL,"Punjabi in Lahore,Pakistan"
HG02786,PK32,PJL,"Punjabi in Lahore,Pakistan"
HG02787,PK32,PJL,"Punjabi in Lahore,Pakistan"
HG02788,PK32,PJL,"Punjabi in Lahore,Pakistan"
HG02789,PK33,PJL,"Punjabi in Lahore,Pakistan"
HG02790,PK33,PJL,"Punjabi in Lahore,Pakistan"
HG02791,PK33,PJL,"Punjabi in Lahore,Pakistan"
HG02792,PK34,PJL,"Punjabi in Lahore,Pakistan"
HG02793,PK34,PJL,"Punjabi in Lahore,Pakistan"
HG02794,PK34,PJL,"Punjabi in Lahore,Pakistan"
HG02798,GB60,GWD,"Gambian in Western Division, The Gambia"
HG02799,GB60,GWD,"Gambian in Western Division, The Gambia"
HG02800,GB60,GWD,"Gambian in Western Division, The Gambia"
HG02804,GB62,GWD,"Gambian in Western Division, The Gambia"
HG02805,GB62,GWD,"Gambian in Western Division, The Gambia"
HG02806,GB62,GWD,"Gambian in Western Division, The Gambia"
HG02807,GB63,GWD,"Gambian in Western Division, The Gambia"
HG02808,GB63,GWD,"Gambian in Western Division, The Gambia"
HG02809,GB63,GWD,"Gambian in Western Division, The Gambia"
HG02810,GB64,GWD,"Gambian in Western Division, The Gambia"
HG02811,GB64,GWD,"Gambian in Western Division, The Gambia"
HG02812,GB64,GWD,"Gambian in Western Division, The Gambia"
HG02813,GB65,GWD,"Gambian in Western Division, The Gambia"
HG02814,GB65,GWD,"Gambian in Western Division, The Gambia"
HG02815,GB65,GWD,"Gambian in Western Division, The Gambia"
HG02816,GB66,GWD,"Gambian in Western Division, The Gambia"
HG02817,GB66,GWD,"Gambian in Western Division, The Gambia"
HG02818,GB66,GWD,"Gambian in Western Division, The Gambia"
HG02819,GB67,GWD,"Gambian in Western Division, The Gambia"
HG02820,GB67,GWD,"Gambian in Western Division, The Gambia"
HG02821,GB67,GWD,"Gambian in Western Division, The Gambia"
HG02836,GB73,GWD,"Gambian in Western Division, The Gambia"
HG02837,GB73,GWD,"Gambian in Western Division, The Gambia"
HG02838,GB73,GWD,"Gambian in Western Division, The Gambia"
HG02839,GB74,GWD,"Gambian in Western Division, The Gambia"
HG02840,GB74,GWD,"Gambian in Western Division, The Gambia"
HG02841,GB74,GWD,"Gambian in Western Division, The Gambia"
HG02851,GB78,GWD,"Gambian in Western Division, The Gambia"
HG02852,GB78,GWD,"Gambian in Western Division, The Gambia"
HG02853,GB78,GWD,"Gambian in Western Division, The Gambia"
HG02854,GB79,GWD,"Gambian in Western Division, The Gambia"
HG02855,GB79,GWD,"Gambian in Western Division, The Gambia"
HG02856,GB79,GWD,"Gambian in Western Division, The Gambia"
HG02860,GB81,GWD,"Gambian in Western Division, The Gambia"
HG02861,GB81,GWD,"Gambian in Western Division, The Gambia"
HG02862,GB81,GWD,"Gambian in Western Division, The Gambia"
HG02869,GB84,GWD,"Gambian in Western Division, The Gambia"
HG02870,GB84,GWD,"Gambian in Western Division, The Gambia"
HG02871,GB84,GWD,"Gambian in Western Division, The Gambia"
HG02878,GB87,GWD,"Gambian in Western Division, The Gambia"
HG02879,GB87,GWD,"Gambian in Western Division, The Gambia"
HG02880,GB87,GWD,"Gambian in Western Division, The Gambia"
HG02881,GB88,GWD,"Gambian in Western Division, The Gambia"
HG02882,GB88,GWD,"Gambian in Western Division, The Gambia"
HG02883,GB88,GWD,"Gambian in Western Division, The Gambia"
HG02884,GB89,GWD,"Gambian in Western Division, The Gambia"
HG02885,GB89,GWD,"Gambian in Western Division, The Gambia"
HG02886,GB89,GWD,"Gambian in Western Division, The Gambia"
HG02887,GB90,GWD,"Gambian in Western Division, The Gambia"
HG02888,GB90,GWD,"Gambian in Western Division, The Gambia"
HG02889,GB90,GWD,"Gambian in Western Division, The Gambia"
HG02890,GB91,GWD,"Gambian in Western Division, The Gambia"
HG02891,GB91,GWD,"Gambian in Western Division, The Gambia"
HG02892,GB91,GWD,"Gambian in Western Division, The Gambia"
HG02895,GB93,GWD,"Gambian in Western Division, The Gambia"
HG02896,GB93,GWD,"Gambian in Western Division, The Gambia"
HG02897,GB93,GWD,"Gambian in Western Division, The Gambia"
HG02922,NG06,ESN,Esan in Nigeria
HG02923,NG06,ESN,Esan in Nigeria
HG02924,NG06,ESN,Esan in Nigeria
HG02938,NG11,ESN,Esan in Nigeria
HG02939,NG11,ESN,Esan in Nigeria
HG02941,NG12,ESN,Esan in Nigeria
HG02942,NG12,ESN,Esan in Nigeria
HG02943,NG13,ESN,Esan in Nigeria
HG02944,NG13,ESN,Esan in Nigeria
HG02945,NG13,ESN,Esan in Nigeria
HG02946,NG14,ESN,Esan in Nigeria
HG02947,NG14,ESN,Esan in Nigeria
HG02948,NG14,ESN,Esan in Nigeria
HG02952,NG16,ESN,Esan in Nigeria
HG02953,NG16,ESN,Esan in Nigeria
HG02954,NG16,ESN,Esan in Nigeria
HG02964,NG20,ESN,Esan in Nigeria
HG02965,NG20,ESN,Esan in Nigeria
HG02966,NG20,ESN,Esan in Nigeria
HG02968,NG21,ESN,Esan in Nigeria
HG02969,NG21,ESN,Esan in Nigeria
HG02970,NG22,ESN,Esan in Nigeria
HG02971,NG22,ESN,Esan in Nigeria
HG02972,NG22,ESN,Esan in Nigeria
HG02973,NG23,ESN,Esan in Nigeria
HG02974,NG23,ESN,Esan in Nigeria
HG02975,NG23,ESN,Esan in Nigeria
HG02976,NG24,ESN,Esan in Nigeria
HG02977,NG24,ESN,Esan in Nigeria
HG02978,NG24,ESN,Esan in Nigeria
HG02979,NG25,ESN,Esan in Nigeria
HG02980,NG25,ESN,Esan in Nigeria
HG02981,NG25,ESN,Esan in Nigeria
HG02982,GB97,GWD,"Gambian in Western Division, The Gambia"
HG02983,GB97,GWD,"Gambian in Western Division, The Gambia"
HG02984,GB97,GWD,"Gambian in Western Division, The Gambia"
HG03006,BD01,BEB,Bengali in Bangladesh
HG03007,BD01,BEB,Bengali in Bangladesh
HG03008,BD01,BEB,Bengali in Bangladesh
HG03009,HG03009,BEB,Bengali in Bangladesh
HG03012,BD3,BEB,Bengali in Bangladesh
HG03015,PK35,PJL,"Punjabi in Lahore,Pakistan"
HG03016,PK35,PJL,"Punjabi in Lahore,Pakistan"
HG03017,PK35,PJL,"Punjabi in Lahore,Pakistan"
HG03018,PK36,PJL,"Punjabi in Lahore,Pakistan"
HG03019,PK36,PJL,"Punjabi in Lahore,Pakistan"
HG03021,PK37,PJL,"Punjabi in Lahore,Pakistan"
HG03022,HG03022,PJL,"Punjabi in Lahore,Pakistan"
HG03023,PK37,PJL,"Punjabi in Lahore,Pakistan"
HG03024,GB105,GWD,"Gambian in Western Division, The Gambia"
HG03025,GB105,GWD,"Gambian in Western Division, The Gambia"
HG03026,GB105,GWD,"Gambian in Western Division, The Gambia"
HG03027,GB106,GWD,"Gambian in Western Division, The Gambia"
HG03028,GB106,GWD,"Gambian in Western Division, The Gambia"
HG03029,GB106,GWD,"Gambian in Western Division, The Gambia"
HG03033,GB108,GWD,"Gambian in Western Division, The Gambia"
HG03034,GB108,GWD,"Gambian in Western Division, The Gambia"
HG03035,GB108,GWD,"Gambian in Western Division, The Gambia"
HG03039,GB110,GWD,"Gambian in Western Division, The Gambia"
HG03040,GB110,GWD,"Gambian in Western Division, The Gambia"
HG03041,GB110,GWD,"Gambian in Western Division, The Gambia"
HG03045,GB112,GWD,"Gambian in Western Division, The Gambia"
HG03046,GB112,GWD,"Gambian in Western Division, The Gambia"
HG03047,GB112,GWD,"Gambian in Western Division, The Gambia"
HG03048,GB113,GWD,"Gambian in Western Division, The Gambia"
HG03049,GB113,GWD,"Gambian in Western Division, The Gambia"
HG03050,GB113,GWD,"Gambian in Western Division, The Gambia"
HG03052,SL01,MSL,Mende in Sierra Leone
HG03053,SL01,MSL,Mende in Sierra Leone
HG03054,SL02,MSL,Mende in Sierra Leone
HG03055,SL02,MSL,Mende in Sierra Leone
HG03056,SL02,MSL,Mende in Sierra Leone
HG03057,HG03057,MSL,Mende in Sierra Leone
HG03058,SL03,MSL,Mende in Sierra Leone
HG03059,SL03,MSL,Mende in Sierra Leone
HG03060,HG03060,MSL,Mende in Sierra Leone
HG03061,SL04,MSL,Mende in Sierra Leone
HG03062,SL04,MSL,Mende in Sierra Leone
HG03063,SL05,MSL,Mende in Sierra Leone
HG03064,SL05,MSL,Mende in Sierra Leone
HG03065,SL05,MSL,Mende in Sierra Leone
HG03066,SL06,MSL,Mende in Sierra Leone
HG03069,SL07,MSL,Mende in Sierra Leone
HG03072,SL08,MSL,Mende in Sierra Leone
HG03073,SL08,MSL,Mende in Sierra Leone
HG03074,HG03074,MSL,Mende in Sierra Leone
HG03076,SL09,MSL,Mende in Sierra Leone
HG03077,HG03077,MSL,Mende in Sierra Leone
HG03078,HG03078,MSL,Mende in Sierra Leone
HG03079,SL10,MSL,Mende in Sierra Leone
HG03080,SL10,MSL,Mende in Sierra Leone
HG03081,SL11,MSL,Mende in Sierra Leone
HG03082,SL11,MSL,Mende in Sierra Leone
HG03084,HG03084,MSL,Mende in Sierra Leone
HG03085,HG03085,MSL,Mende in Sierra Leone
HG03086,HG03086,MSL,Mende in Sierra Leone
HG03088,SL13,MSL,Mende in Sierra Leone
HG03091,SL14,MSL,Mende in Sierra Leone
HG03095,SL15,MSL,Mende in Sierra Leone
HG03096,SL16,MSL,Mende in Sierra Leone
HG03097,SL16,MSL,Mende in Sierra Leone
HG03098,SL16,MSL,Mende in Sierra Leone
HG03099,NG26,ESN,Esan in Nigeria
HG03100,NG26,ESN,Esan in Nigeria
HG03101,NG26,ESN,Esan in Nigeria
HG03103,NG27,ESN,Esan in Nigeria
HG03104,NG27,ESN,Esan in Nigeria
HG03105,NG28,ESN,Esan in Nigeria
HG03107,NG28,ESN,Esan in Nigeria
HG03108,NG29,ESN,Esan in Nigeria
HG03109,NG29,ESN,Esan in Nigeria
HG03110,NG29,ESN,Esan in Nigeria
HG03111,NG30,ESN,Esan in Nigeria
HG03112,NG30,ESN,Esan in Nigeria
HG03113,NG30,ESN,Esan in Nigeria
HG03114,NG31,ESN,Esan in Nigeria
HG03115,NG31,ESN,Esan in Nigeria
HG03116,NG31,ESN,Esan in Nigeria
HG03117,NG32,ESN,Esan in Nigeria
HG03118,NG32,ESN,Esan in Nigeria
HG03119,NG32,ESN,Esan in Nigeria
HG03120,NG33,ESN,Esan in Nigeria
HG03121,NG33,ESN,Esan in Nigeria
HG03122,NG33,ESN,Esan in Nigeria
HG03123,NG34,ESN,Esan in Nigeria
HG03124,NG34,ESN,Esan in Nigeria
HG03125,NG34,ESN,Esan in Nigeria
HG03126,NG35,ESN,Esan in Nigeria
HG03127,NG35,ESN,Esan in Nigeria
HG03128,NG35,ESN,Esan in Nigeria
HG03129,NG36,ESN,Esan in Nigeria
HG03130,NG36,ESN,Esan in Nigeria
HG03131,NG36,ESN,Esan in Nigeria
HG03132,NG37,ESN,Esan in Nigeria
HG03133,NG37,ESN,Esan in Nigeria
HG03134,NG37,ESN,Esan in Nigeria
HG03135,NG38,ESN,Esan in Nigeria
HG03136,NG38,ESN,Esan in Nigeria
HG03137,NG38,ESN,Esan in Nigeria
HG03139,NG39,ESN,Esan in Nigeria
HG03140,NG39,ESN,Esan in Nigeria
HG03157,NG45,ESN,Esan in Nigeria
HG03158,NG45,ESN,Esan in Nigeria
HG03159,NG46,ESN,Esan in Nigeria
HG03160,NG46,ESN,Esan in Nigeria
HG03161,NG46,ESN,Esan in Nigeria
HG03162,NG47,ESN,Esan in Nigeria
HG03163,NG47,ESN,Esan in Nigeria
HG03164,NG47,ESN,Esan in Nigeria
HG03166,NG48,ESN,Esan in Nigeria
HG03167,NG48,ESN,Esan in Nigeria
HG03168,NG49,ESN,Esan in Nigeria
HG03169,NG49,ESN,Esan in Nigeria
HG03170,NG49,ESN,Esan in Nigeria
HG03171,HG03171,ESN,Esan in Nigeria
HG03172,NG50,ESN,Esan in Nigeria
HG03173,NG50,ESN,Esan in Nigeria
HG03175,NG51,ESN,Esan in Nigeria
HG03176,NG51,ESN,Esan in Nigeria
HG03189,NG56,ESN,Esan in Nigeria
HG03190,NG56,ESN,Esan in Nigeria
HG03191,NG56,ESN,Esan in Nigeria
HG03193,NG57,ESN,Esan in Nigeria
HG03194,NG57,ESN,Esan in Nigeria
HG03195,NG58,ESN,Esan in Nigeria
HG03196,NG58,ESN,Esan in Nigeria
HG03197,NG58,ESN,Esan in Nigeria
HG03198,NG59,ESN,Esan in Nigeria
HG03199,NG59,ESN,Esan in Nigeria
HG03200,NG59,ESN,Esan in Nigeria
HG03202,NG60,ESN,Esan in Nigeria
HG03203,NG60,ESN,Esan in Nigeria
HG03209,SL17,MSL,Mende in Sierra Leone
HG03212,SL18,MSL,Mende in Sierra Leone
HG03224,SL22,MSL,Mende in Sierra Leone
HG03225,SL23,MSL,Mende in Sierra Leone
HG03228,PK38,PJL,"Punjabi in Lahore,Pakistan"
HG03229,PK38,PJL,"Punjabi in Lahore,Pakistan"
HG03230,PK38,PJL,"Punjabi in Lahore,Pakistan"
HG03234,PK40,PJL,"Punjabi in Lahore,Pakistan"
HG03235,PK40,PJL,"Punjabi in Lahore,Pakistan"
HG03236,PK40,PJL,"Punjabi in Lahore,Pakistan"
HG03237,PK41,PJL,"Punjabi in Lahore,Pakistan"
HG03238,PK41,PJL,"Punjabi in Lahore,Pakistan"
HG03239,PK41,PJL,"Punjabi in Lahore,Pakistan"
HG03240,GB114,GWD,"Gambian in Western Division, The Gambia"
HG03241,GB114,GWD,"Gambian in Western Division, The Gambia"
HG03242,GB114,GWD,"Gambian in Western Division, The Gambia"
HG03246,GB116,GWD,"Gambian in Western Division, The Gambia"
HG03247,GB116,GWD,"Gambian in Western Division, The Gambia"
HG03248,GB116,GWD,"Gambian in Western Division, The Gambia"
HG03249,GB117,GWD,"Gambian in Western Division, The Gambia"
HG03250,GB117,GWD,"Gambian in Western Division, The Gambia"
HG03251,GB117,GWD,"Gambian in Western Division, The Gambia"
HG03258,GB120,GWD,"Gambian in Western Division, The Gambia"
HG03259,GB120,GWD,"Gambian in Western Division, The Gambia"
HG03260,GB120,GWD,"Gambian in Western Division, The Gambia"
HG03265,NG63,ESN,Esan in Nigeria
HG03266,NG63,ESN,Esan in Nigeria
HG03267,NG64,ESN,Esan in Nigeria
HG03268,NG64,ESN,Esan in Nigeria
HG03269,NG64,ESN,Esan in Nigeria
HG03270,NG65,ESN,Esan in Nigeria
HG03271,NG65,ESN,Esan in Nigeria
HG03272,NG65,ESN,Esan in Nigeria
HG03279,NG68,ESN,Esan in Nigeria
HG03280,NG68,ESN,Esan in Nigeria
HG03291,NG72,ESN,Esan in Nigeria
HG03293,NG72,ESN,Esan in Nigeria
HG03294,NG73,ESN,Esan in Nigeria
HG03295,NG73,ESN,Esan in Nigeria
HG03296,NG73,ESN,Esan in Nigeria
HG03297,NG74,ESN,Esan in Nigeria
HG03298,NG74,ESN,Esan in Nigeria
HG03299,NG74,ESN,Esan in Nigeria
HG03300,NG75,ESN,Esan in Nigeria
HG03301,NG75,ESN,Esan in Nigeria
HG03302,NG75,ESN,Esan in Nigeria
HG03303,NG76,ESN,Esan in Nigeria
HG03304,NG76,ESN,Esan in Nigeria
HG03305,NG76,ESN,Esan in Nigeria
HG03306,NG77,ESN,Esan in Nigeria
HG03307,NG77,ESN,Esan in Nigeria
HG03308,NG77,ESN,Esan in Nigeria
HG03309,NG78,ESN,Esan in Nigeria
HG03310,NG78,ESN,Esan in Nigeria
HG03311,NG78,ESN,Esan in Nigeria
HG03312,NG79,ESN,Esan in Nigeria
HG03313,NG79,ESN,Esan in Nigeria
HG03314,NG79,ESN,Esan in Nigeria
HG03339,NG88,ESN,Esan in Nigeria
HG03341,NG88,ESN,Esan in Nigeria
HG03342,NG89,ESN,Esan in Nigeria
HG03343,NG89,ESN,Esan in Nigeria
HG03344,NG89,ESN,Esan in Nigeria
HG03350,NG92,ESN,Esan in Nigeria
HG03351,NG92,ESN,Esan in Nigeria
HG03352,NG92,ESN,Esan in Nigeria
HG03354,NG93,ESN,Esan in Nigeria
HG03361,NG95,ESN,Esan in Nigeria
HG03362,NG95,ESN,Esan in Nigeria
HG03363,NG96,ESN,Esan in Nigeria
HG03365,NG96,ESN,Esan in Nigeria
HG03366,NG97,ESN,Esan in Nigeria
HG03367,NG97,ESN,Esan in Nigeria
HG03368,NG97,ESN,Esan in Nigeria
HG03369,NG98,ESN,Esan in Nigeria
HG03370,NG98,ESN,Esan in Nigeria
HG03371,NG98,ESN,Esan in Nigeria
HG03372,NG99,ESN,Esan in Nigeria
HG03373,NG99,ESN,Esan in Nigeria
HG03374,NG99,ESN,Esan in Nigeria
HG03376,SL24,MSL,Mende in Sierra Leone
HG03378,HG03378,MSL,Mende in Sierra Leone
HG03380,SL25,MSL,Mende in Sierra Leone
HG03381,SL30,MSL,Mende in Sierra Leone
HG03382,SL26,MSL,Mende in Sierra Leone
HG03383,HG03383,MSL,Mende in Sierra Leone
HG03384,SL26,MSL,Mende in Sierra Leone
HG03385,SL27,MSL,Mende in Sierra Leone
HG03388,SL28,MSL,Mende in Sierra Leone
HG03390,SL28,MSL,Mende in Sierra Leone
HG03391,SL29,MSL,Mende in Sierra Leone
HG03393,HG03393,MSL,Mende in Sierra Leone
HG03394,SL30,MSL,Mende in Sierra Leone
HG03397,HG03397,MSL,Mende in Sierra Leone
HG03398,HG03398,MSL,Mende in Sierra Leone
HG03399,SL26,MSL,Mende in Sierra Leone
HG03401,SL32,MSL,Mende in Sierra Leone
HG03402,SL32,MSL,Mende in Sierra Leone
HG03408,SL34,MSL,Mende in Sierra Leone
HG03410,SL35,MSL,Mende in Sierra Leone
HG03411,SL35,MSL,Mende in Sierra Leone
HG03419,SL38,MSL,Mende in Sierra Leone
HG03428,SL42,MSL,Mende in Sierra Leone
HG03431,HG03431,MSL,Mende in Sierra Leone
HG03432,HG03432,MSL,Mende in Sierra Leone
HG03433,HG03433,MSL,Mende in Sierra Leone
HG03436,HG03436,MSL,Mende in Sierra Leone
HG03437,HG03437,MSL,Mende in Sierra Leone
HG03438,SL56,MSL,Mende in Sierra Leone
HG03439,SL46,MSL,Mende in Sierra Leone
HG03442,HG03442,MSL,Mende in Sierra Leone
HG03445,HG03445,MSL,Mende in Sierra Leone
HG03446,HG03446,MSL,Mende in Sierra Leone
HG03449,SL49,MSL,Mende in Sierra Leone
HG03450,SL49,MSL,Mende in Sierra Leone
HG03451,SL50,MSL,Mende in Sierra Leone
HG03452,SL50,MSL,Mende in Sierra Leone
HG03453,SL50,MSL,Mende in Sierra Leone
HG03454,SL51,MSL,Mende in Sierra Leone
HG03455,SL51,MSL,Mende in Sierra Leone
HG03456,SL51,MSL,Mende in Sierra Leone
HG03457,HG03457,MSL,Mende in Sierra Leone
HG03458,SL52,MSL,Mende in Sierra Leone
HG03459,SL52,MSL,Mende in Sierra Leone
HG03460,HG03460,MSL,Mende in Sierra Leone
HG03461,HG03461,MSL,Mende in Sierra Leone
HG03462,HG03462,MSL,Mende in Sierra Leone
HG03464,SL54,MSL,Mende in Sierra Leone
HG03465,SL54,MSL,Mende in Sierra Leone
HG03466,SL50i,MSL,Mende in Sierra Leone
HG03468,SL50i,MSL,Mende in Sierra Leone
HG03469,SL56i,MSL,Mende in Sierra Leone
HG03470,SL56,MSL,Mende in Sierra Leone
HG03471,SL56i,MSL,Mende in Sierra Leone
HG03472,HG03472,MSL,Mende in Sierra Leone
HG03473,SL57,MSL,Mende in Sierra Leone
HG03474,SL57,MSL,Mende in Sierra Leone
HG03476,SL58,MSL,Mende in Sierra Leone
HG03477,SL58,MSL,Mende in Sierra Leone
HG03478,SL59,MSL,Mende in Sierra Leone
HG03479,SL59,MSL,Mende in Sierra Leone
HG03480,SL59,MSL,Mende in Sierra Leone
HG03484,SL61,MSL,Mende in Sierra Leone
HG03485,SL61,MSL,Mende in Sierra Leone
HG03486,SL61,MSL,Mende in Sierra Leone
HG03487,PK42,PJL,"Punjabi in Lahore,Pakistan"
HG03488,PK42,PJL,"Punjabi in Lahore,Pakistan"
HG03489,PK42,PJL,"Punjabi in Lahore,Pakistan"
HG03490,PK43,PJL,"Punjabi in Lahore,Pakistan"
HG03491,PK43,PJL,"Punjabi in Lahore,Pakistan"
HG03492,PK43,PJL,"Punjabi in Lahore,Pakistan"
HG03493,NG100,ESN,Esan in Nigeria
HG03499,NG102,ESN,Esan in Nigeria
HG03508,NG105,ESN,Esan in Nigeria
HG03510,NG105,ESN,Esan in Nigeria
HG03511,NG106,ESN,Esan in Nigeria
HG03513,NG106,ESN,Esan in Nigeria
HG03514,NG107,ESN,Esan in Nigeria
HG03515,NG107,ESN,Esan in Nigeria
HG03516,NG107,ESN,Esan in Nigeria
HG03517,NG108,ESN,Esan in Nigeria
HG03518,NG108,ESN,Esan in Nigeria
HG03519,NG108,ESN,Esan in Nigeria
HG03520,NG109,ESN,Esan in Nigeria
HG03521,NG109,ESN,Esan in Nigeria
HG03522,NG109,ESN,Esan in Nigeria
HG03538,GB125,GWD,"Gambian in Western Division, The Gambia"
HG03539,GB125,GWD,"Gambian in Western Division, The Gambia"
HG03540,GB125,GWD,"Gambian in Western Division, The Gambia"
HG03547,HG03547,MSL,Mende in Sierra Leone
HG03548,HG03548,MSL,Mende in Sierra Leone
HG03549,HG03549,MSL,Mende in Sierra Leone
HG03556,HG03556,MSL,Mende in Sierra Leone
HG03557,HG03557,MSL,Mende in Sierra Leone
HG03558,HG03558,MSL,Mende in Sierra Leone
HG03559,SL66,MSL,Mende in Sierra Leone
HG03563,SL67,MSL,Mende in Sierra Leone
HG03564,SL67,MSL,Mende in Sierra Leone
HG03565,HG03565,MSL,Mende in Sierra Leone
HG03566,HG03566,MSL,Mende in Sierra Leone
HG03567,HG03567,MSL,Mende in Sierra Leone
HG03569,SL69,MSL,Mende in Sierra Leone
HG03571,SL70,MSL,Mende in Sierra Leone
HG03572,SL70,MSL,Mende in Sierra Leone
HG03574,SL71,MSL,Mende in Sierra Leone
HG03575,SL71,MSL,Mende in Sierra Leone
HG03576,SL71,MSL,Mende in Sierra Leone
HG03577,SL72,MSL,Mende in Sierra Leone
HG03578,SL72,MSL,Mende in Sierra Leone
HG03579,SL72,MSL,Mende in Sierra Leone
HG03582,SL73,MSL,Mende in Sierra Leone
HG03583,SL73,MSL,Mende in Sierra Leone
HG03584,SL73,MSL,Mende in Sierra Leone
HG03585,BD4,BEB,Bengali in Bangladesh
HG03587,BD4,BEB,Bengali in Bangladesh
HG03589,BD05,BEB,Bengali in Bangladesh
HG03590,BD05,BEB,Bengali in Bangladesh
HG03593,BD6,BEB,Bengali in Bangladesh
HG03594,BD7,BEB,Bengali in Bangladesh
HG03595,BD7,BEB,Bengali in Bangladesh
HG03596,BD7,BEB,Bengali in Bangladesh
HG03598,BD8,BEB,Bengali in Bangladesh
HG03599,BD8,BEB,Bengali in Bangladesh
HG03600,BD09,BEB,Bengali in Bangladesh
HG03602,BD09,BEB,Bengali in Bangladesh
HG03603,BD10,BEB,Bengali in Bangladesh
HG03604,BD10,BEB,Bengali in Bangladesh
HG03605,BD11,BEB,Bengali in Bangladesh
HG03606,BD11,BEB,Bengali in Bangladesh
HG03607,BD11,BEB,Bengali in Bangladesh
HG03611,BD12,BEB,Bengali in Bangladesh
HG03615,BD14,BEB,Bengali in Bangladesh
HG03616,BD14,BEB,Bengali in Bangladesh
HG03617,BD14,BEB,Bengali in Bangladesh
HG03618,PK44,PJL,"Punjabi in Lahore,Pakistan"
HG03619,PK44,PJL,"Punjabi in Lahore,Pakistan"
HG03620,PK44,PJL,"Punjabi in Lahore,Pakistan"
HG03621,PK45,PJL,"Punjabi in Lahore,Pakistan"
HG03624,PK46,PJL,"Punjabi in Lahore,Pakistan"
HG03625,PK46,PJL,"Punjabi in Lahore,Pakistan"
HG03626,PK46,PJL,"Punjabi in Lahore,Pakistan"
HG03629,PK47,PJL,"Punjabi in Lahore,Pakistan"
HG03631,PK48,PJL,"Punjabi in Lahore,Pakistan"
HG03633,PK49,PJL,"Punjabi in Lahore,Pakistan"
HG03634,PK49,PJL,"Punjabi in Lahore,Pakistan"
HG03635,PK49,PJL,"Punjabi in Lahore,Pakistan"
HG03636,PK50,PJL,"Punjabi in Lahore,Pakistan"
HG03638,PK50,PJL,"Punjabi in Lahore,Pakistan"
HG03639,PK51,PJL,"Punjabi in Lahore,Pakistan"
HG03640,PK51,PJL,"Punjabi in Lahore,Pakistan"
HG03641,PK51,PJL,"Punjabi in Lahore,Pakistan"
HG03642,ST006,STU,Sri Lankan Tamil in the UK
HG03643,ST004,STU,Sri Lankan Tamil in the UK
HG03644,ST004,STU,Sri Lankan Tamil in the UK
HG03645,ST002,STU,Sri Lankan Tamil in the UK
HG03646,ST001,STU,Sri Lankan Tamil in the UK
HG03649,PK52,PJL,"Punjabi in Lahore,Pakistan"
HG03650,PK52,PJL,"Punjabi in Lahore,Pakistan"
HG03651,PK52,PJL,"Punjabi in Lahore,Pakistan"
HG03652,PK53,PJL,"Punjabi in Lahore,Pakistan"
HG03653,PK53,PJL,"Punjabi in Lahore,Pakistan"
HG03654,PK53,PJL,"Punjabi in Lahore,Pakistan"
HG03656,PK54,PJL,"Punjabi in Lahore,Pakistan"
HG03657,PK54,PJL,"Punjabi in Lahore,Pakistan"
HG03660,PK55,PJL,"Punjabi in Lahore,Pakistan"
HG03663,PK56,PJL,"Punjabi in Lahore,Pakistan"
HG03667,PK58,PJL,"Punjabi in Lahore,Pakistan"
HG03668,PK58,PJL,"Punjabi in Lahore,Pakistan"
HG03669,PK58,PJL,"Punjabi in Lahore,Pakistan"
