Sample,Family ID,Population,Population Description
HG00694,SH086,CHS,"Southern Han Chinese, China"
HG00698,SH088,CHS,"Southern Han Chinese, China"
HG00699,SH088,CHS,"Southern Han Chinese, China"
HG00700,SH088,CHS,"Southern Han Chinese, China"
HG00701,SH089,CHS,"Southern Han Chinese, China"
HG00702,SH089,CHS,"Southern Han Chinese, China"
HG00703,SH089,CHS,"Southern Han Chinese, China"
HG00704,SH090,CHS,"Southern Han Chinese, China"
HG00705,SH090,CHS,"Southern Han Chinese, China"
HG00706,SH090,CHS,"Southern Han Chinese, China"
HG00707,SH091,CHS,"Southern Han Chinese, China"
HG00708,SH091,CHS,"Southern Han Chinese, China"
HG00709,SH091,CHS,"Southern Han Chinese, China"
HG00716,SH094,CHS,"Southern Han Chinese, China"
HG00717,SH094,CHS,"Southern Han Chinese, China"
HG00718,SH094,CHS,"Southern Han Chinese, China"
HG00728,SH098,CHS,"Southern Han Chinese, China"
HG00729,SH098,CHS,"Southern Han Chinese, China"
HG00730,SH098,CHS,"Southern Han Chinese, China"
HG00731,PR05,PUR,Puerto Rican in Puerto Rico
HG00732,PR05,PUR,Puerto Rican in Puerto Rico
HG00733,PR05,PUR,Puerto Rican in Puerto Rico
HG00734,PR06,PUR,Puerto Rican in Puerto Rico
HG00735,PR06,PUR,Puerto Rican in Puerto Rico
HG00736,PR07,PUR,Puerto Rican in Puerto Rico
HG00737,PR07,PUR,Puerto Rican in Puerto Rico
HG00738,PR07,PUR,Puerto Rican in Puerto Rico
HG00739,PR09,PUR,Puerto Rican in Puerto Rico
HG00740,PR09,PUR,Puerto Rican in Puerto Rico
HG00741,PR09,PUR,Puerto Rican in Puerto Rico
HG00742,PR10,PUR,Puerto Rican in Puerto Rico
HG00743,PR10,PUR,Puerto Rican in Puerto Rico
HG00759,HG00759,CDX,"Chinese Dai in Xishuangbanna, China"
HG00766,HG00766,CDX,"Chinese Dai in Xishuangbanna, China"
HG00844,HG00844,CDX,"Chinese Dai in Xishuangbanna, China"
HG00851,HG00851,CDX,"Chinese Dai in Xishuangbanna, China"
HG00864,HG00864,CDX,"Chinese Dai in Xishuangbanna, China"
HG00866,CDX1,CDX,"Chinese Dai in Xishuangbanna, China"
HG00867,CDX1,CDX,"Chinese Dai in Xishuangbanna, China"
HG00879,HG00879,CDX,"Chinese Dai in Xishuangbanna, China"
HG00881,HG00881,CDX,"Chinese Dai in Xishuangbanna, China"
HG00956,HG00956,CDX,"Chinese Dai in Xishuangbanna, China"
HG00978,HG00978,CDX,"Chinese Dai in Xishuangbanna, China"
HG00982,HG00982,CDX,"Chinese Dai in Xishuangbanna, China"
HG00983,HG00983,CDX,"Chinese Dai in Xishuangbanna, China"
HG01028,HG01028,CDX,"Chinese Dai in Xishuangbanna, China"
HG01029,HG01029,CDX,"Chinese Dai in Xishuangbanna, China"
HG01031,HG01031,CDX,"Chinese Dai in Xishuangbanna, China"
HG01046,HG01046,CDX,"Chinese Dai in Xishuangbanna, China"
HG01047,PR06,PUR,Puerto Rican in Puerto Rico
HG01048,PR08,PUR,Puerto Rican in Puerto Rico
HG01049,PR08,PUR,Puerto Rican in Puerto Rico
HG01050,PR08,PUR,Puerto Rican in Puerto Rico
HG01051,PR11,PUR,Puerto Rican in Puerto Rico
HG01052,PR11,PUR,Puerto Rican in Puerto Rico
HG01053,PR11,PUR,Puerto Rican in Puerto Rico
HG01054,PR12,PUR,Puerto Rican in Puerto Rico
HG01055,PR12,PUR,Puerto Rican in Puerto Rico
HG01056,PR12,PUR,Puerto Rican in Puerto Rico
HG01058,PR13,PUR,Puerto Rican in Puerto Rico
HG01060,PR14,PUR,Puerto Rican in Puerto Rico
HG01061,PR14,PUR,Puerto Rican in Puerto Rico
HG01062,PR14,PUR,Puerto Rican in Puerto Rico
HG01063,PR15,PUR,Puerto Rican in Puerto Rico
HG01064,PR15,PUR,Puerto Rican in Puerto Rico
HG01066,PR16,PUR,Puerto Rican in Puerto Rico
HG01067,PR16,PUR,Puerto Rican in Puerto Rico
HG01068,PR16,PUR,Puerto Rican in Puerto Rico
HG01069,PR17,PUR,Puerto Rican in Puerto Rico
HG01070,PR17,PUR,Puerto Rican in Puerto Rico
HG01071,PR17,PUR,Puerto Rican in Puerto Rico
HG01072,PR18,PUR,Puerto Rican in Puerto Rico
HG01073,PR18,PUR,Puerto Rican in Puerto Rico
HG01074,PR18,PUR,Puerto Rican in Puerto Rico
HG01075,PR01,PUR,Puerto Rican in Puerto Rico
HG01077,PR20,PUR,Puerto Rican in Puerto Rico
HG01079,PR21,PUR,Puerto Rican in Puerto Rico
HG01080,PR21,PUR,Puerto Rican in Puerto Rico
HG01081,PR21,PUR,Puerto Rican in Puerto Rico
HG01082,PR28,PUR,Puerto Rican in Puerto Rico
HG01083,PR28,PUR,Puerto Rican in Puerto Rico
HG01084,PR28,PUR,Puerto Rican in Puerto Rico
HG01085,PR26,PUR,Puerto Rican in Puerto Rico
HG01086,PR26,PUR,Puerto Rican in Puerto Rico
HG01087,PR26,PUR,Puerto Rican in Puerto Rico
HG01088,PR27,PUR,Puerto Rican in Puerto Rico
HG01089,PR27,PUR,Puerto Rican in Puerto Rico
HG01090,PR27,PUR,Puerto Rican in Puerto Rico
HG01092,PR30,PUR,Puerto Rican in Puerto Rico
HG01094,PR29,PUR,Puerto Rican in Puerto Rico
HG01095,PR29,PUR,Puerto Rican in Puerto Rico
HG01096,PR29,PUR,Puerto Rican in Puerto Rico
HG01097,PR31,PUR,Puerto Rican in Puerto Rico
HG01098,PR31,PUR,Puerto Rican in Puerto Rico
HG01099,PR31,PUR,Puerto Rican in Puerto Rico
HG01100,PR32,PUR,Puerto Rican in Puerto Rico
HG01101,PR19,PUR,Puerto Rican in Puerto Rico
HG01102,PR19,PUR,Puerto Rican in Puerto Rico
HG01103,PR19,PUR,Puerto Rican in Puerto Rico
HG01104,PR25,PUR,Puerto Rican in Puerto Rico
HG01105,PR25,PUR,Puerto Rican in Puerto Rico
HG01106,PR25,PUR,Puerto Rican in Puerto Rico
HG01107,PR33,PUR,Puerto Rican in Puerto Rico
HG01108,PR33,PUR,Puerto Rican in Puerto Rico
HG01109,PR33,PUR,Puerto Rican in Puerto Rico
HG01110,PR34,PUR,Puerto Rican in Puerto Rico
HG01111,PR34,PUR,Puerto Rican in Puerto Rico
HG01112,CLM03,CLM,"Colombian in Medellin, Colombia"
HG01113,CLM03,CLM,"Colombian in Medellin, Colombia"
HG01114,CLM03,CLM,"Colombian in Medellin, Colombia"
HG01119,CLM01,CLM,"Colombian in Medellin, Colombia"
HG01121,CLM02,CLM,"Colombian in Medellin, Colombia"
HG01122,CLM02,CLM,"Colombian in Medellin, Colombia"
HG01123,CLM02,CLM,"Colombian in Medellin, Colombia"
HG01124,CLM04,CLM,"Colombian in Medellin, Colombia"
HG01125,CLM04,CLM,"Colombian in Medellin, Colombia"
HG01126,CLM04,CLM,"Colombian in Medellin, Colombia"
HG01130,CLM06,CLM,"Colombian in Medellin, Colombia"
HG01131,CLM06,CLM,"Colombian in Medellin, Colombia"
HG01133,CLM07,CLM,"Colombian in Medellin, Colombia"
HG01134,CLM07,CLM,"Colombian in Medellin, Colombia"
HG01135,CLM07,CLM,"Colombian in Medellin, Colombia"
HG01136,CLM08,CLM,"Colombian in Medellin, Colombia"
HG01137,CLM08,CLM,"Colombian in Medellin, Colombia"
HG01138,CLM08,CLM,"Colombian in Medellin, Colombia"
HG01139,CLM09,CLM,"Colombian in Medellin, Colombia"
HG01140,CLM09,CLM,"Colombian in Medellin, Colombia"
HG01141,CLM09,CLM,"Colombian in Medellin, Colombia"
HG01142,CLM10,CLM,"Colombian in Medellin, Colombia"
HG01148,CLM12,CLM,"Colombian in Medellin, Colombia"
HG01149,CLM12,CLM,"Colombian in Medellin, Colombia"
HG01150,CLM12,CLM,"Colombian in Medellin, Colombia"
HG01161,PR35,PUR,Puerto Rican in Puerto Rico
HG01162,PR35,PUR,Puerto Rican in Puerto Rico
HG01164,PR37,PUR,Puerto Rican in Puerto Rico
HG01167,PR39,PUR,Puerto Rican in Puerto Rico
HG01168,PR39,PUR,Puerto Rican in Puerto Rico
HG01169,PR39,PUR,Puerto Rican in Puerto Rico
